PROPER NOUNS IN GRIFFITH RIGVEDA TRANSLATION
================================================================================

Total unique proper nouns (>= 5 occurrences): 921

  1. Indra                (2883 occurrences)
  2. Agni                 (1893 occurrences)
  3. Soma                 (1508 occurrences)
  4. Gods                 (1483 occurrences)
  5. HYMN                 (1028 occurrences)
  6. God                  ( 791 occurrences)
  7. Lord                 ( 668 occurrences)
  8. Varuna               ( 572 occurrences)
  9. Thou                 ( 563 occurrences)
 10. Maruts               ( 515 occurrences)
 11. Page                 ( 506 occurrences)
 12. Asvins               ( 463 occurrences)
 13. One                  ( 451 occurrences)
 14. Mitra                ( 415 occurrences)
 15. Let                  ( 333 occurrences)
 16. Mighty               ( 305 occurrences)
 17. Heaven               ( 297 occurrences)
 18. Law                  ( 270 occurrences)
 19. Hero                 ( 268 occurrences)
 20. Come                 ( 265 occurrences)
 21. Earth                ( 262 occurrences)
 22. Sun                  ( 254 occurrences)
 23. Friend               ( 246 occurrences)
 24. Pavamana             ( 246 occurrences)
 25. Vrtra                ( 245 occurrences)
 26. Indu                 ( 226 occurrences)
 27. Strong               ( 215 occurrences)
 28. Priest               ( 214 occurrences)
 29. Surya                ( 208 occurrences)
 30. Maghavan             ( 205 occurrences)
 31. Savitar              ( 188 occurrences)
 32. Heroes               ( 183 occurrences)
 33. King                 ( 182 occurrences)
 34. Sage                 ( 180 occurrences)
 35. Dawn                 ( 179 occurrences)
 36. Ones                 ( 167 occurrences)
 37. Even                 ( 165 occurrences)
 38. Vayu                 ( 158 occurrences)
 39. Bull                 ( 156 occurrences)
 40. Holy                 ( 153 occurrences)
 41. Steeds               ( 149 occurrences)
 42. Bring                ( 147 occurrences)
 43. Son                  ( 145 occurrences)
 44. Aditi                ( 145 occurrences)
 45. Brhaspati            ( 140 occurrences)
 46. Bay                  ( 139 occurrences)
 47. Pusan                ( 137 occurrences)
 48. Most                 ( 136 occurrences)
 49. Adityas              ( 130 occurrences)
 50. Mother               ( 130 occurrences)
 51. Immortal             ( 126 occurrences)
 52. Strength             ( 124 occurrences)
 53. Lords                ( 122 occurrences)
 54. Give                 ( 117 occurrences)
 55. Yea                  ( 117 occurrences)
 56. Waters               ( 115 occurrences)
 57. Jatavedas            ( 112 occurrences)
 58. Deities              ( 111 occurrences)
 59. Visnu                ( 111 occurrences)
 60. Aryaman              ( 109 occurrences)
 61. Steer                ( 106 occurrences)
 62. Be                   ( 103 occurrences)
 63. Father               ( 100 occurrences)
 64. Rudra                ( 100 occurrences)
 65. Bhaga                (  97 occurrences)
 66. Nasatyas             (  96 occurrences)
 67. Twain                (  91 occurrences)
 68. Order                (  90 occurrences)
 69. Great                (  87 occurrences)
 70. Rbhus                (  83 occurrences)
 71. Flow                 (  82 occurrences)
 72. Bays                 (  80 occurrences)
 73. Vasus                (  79 occurrences)
 74. THE                  (  78 occurrences)
 75. Visvedevas           (  74 occurrences)
 76. Goddess              (  73 occurrences)
 77. Tvastar              (  72 occurrences)
 78. Sarasvati            (  72 occurrences)
 79. Preserve             (  71 occurrences)
 80. Drink                (  70 occurrences)
 81. Sons                 (  70 occurrences)
 82. Sovran               (  69 occurrences)
 83. Men                  (  69 occurrences)
 84. Bounteous            (  68 occurrences)
 85. Dawns                (  65 occurrences)
 86. Wise                 (  65 occurrences)
 87. Wherewith            (  64 occurrences)
 88. Youthful             (  63 occurrences)
 89. Fathers              (  62 occurrences)
 90. Seven                (  61 occurrences)
 91. Bright               (  60 occurrences)
 92. Whom                 (  60 occurrences)
 93. Child                (  60 occurrences)
 94. Giver                (  59 occurrences)
 95. Thunder              (  58 occurrences)
 96. Vaisvanara           (  58 occurrences)
